KO	Description
K22381	ZNF598; E3 ubiquitin-protein ligase ZNF598 [EC:2.3.2.27]
K22382	WDR26; WD repeat-containing protein 26
K22383	IRF2BP; interferon regulatory factor 2-binding protein
K22384	WRB, GET1; tail-anchored protein insertion receptor
K22385	CAMLG; calcium signal-modulating cyclophilin ligand
K22386	GET2; GET complex subunit GET2
K22387	GDPD1_3, GDE4_7; lysophospholipase D [EC:3.1.4.39]
K22388	NAB; NGFI-A-binding protein
K22389	LCAT3; phospholipase A1 [EC:3.1.1.32]
K22390	ACP7; acid phosphatase type 7
K22391	E3.5.4.16; GTP cyclohydrolase I [EC:3.5.4.16]
K22392	hppE; (S)-2-hydroxypropylphosphonic acid epoxidase [EC:1.11.1.23]
K22393	nfr1; flavin reductase (NADH) subunit 1 [EC:1.5.1.36]
K22394	nfr2; flavin reductase (NADH) subunit 2 [EC:1.5.1.36]
K22395	K22395; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K22396	yjhG, yagF; xylonate dehydratase [EC:4.2.1.82]
K22397	yjhH, yagE; 2-dehydro-3-deoxy-D-pentonate aldolase [EC:4.1.2.28]
K22398	MRAP; melanocortin 2 receptor accessory protein
K22399	TRIP13; pachytene checkpoint protein 2
K22400	FERD3L; Fer3-like protein
K22401	E4F1; transcription factor E4F1 / E3 ubiquitin-protein ligase [EC:2.3.2.27]
K22402	GZF1; GDNF-inducible zinc finger protein 1
K22403	ZMIZ; zinc finger MIZ domain-containing protein
K22404	KLB; beta-klotho
K22405	fprA1_2; NADH oxidase (H2O-forming) [EC:1.6.3.4]
K22406	JBP1; thymine dioxygenase [EC:1.14.11.6]
K22407	JBP2; thymine dioxygenase / DNA helicase [EC:1.14.11.6 3.6.4.12]
K22408	dac; diacetylchitobiose deacetylase [EC:3.5.1.-]
K22409	sle1; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K22410	PRDM16; [histone H3]-lysine9 N-methyltransferase [EC:2.1.1.367]
K22411	ZNF516; zinc finger protein 516
K22412	SDC-1; zinc finger protein Sdc-1
K22413	FGF11_12_13, FHF3_1_2; fibroblast growth factor 11/12/13
K22414	POLDIP3; polymerase delta-interacting protein 3
K22415	ZC3H11; zinc finger CCCH domain-containing protein 11
K22416	IREB2; iron-responsive element-binding protein 2
K22417	AAO4; benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]
K22418	HSD1; 11beta/17beta-hydroxysteroid dehydrogenase [EC:1.1.1.146 1.1.1.-]
K22419	VEP1; Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]
K22420	MEIOB; meiosis-specific with OB domain-containing protein [EC:3.1.-.-]
K22421	SPATA22; spermatogenesis-associated protein 22
K22422	DONSON; protein downstream neighbor of Son
K22423	CPT2; nerylneryl diphosphate synthase [EC:2.5.1.142]
K22424	E2.7.3.13; glutamine kinase [EC:2.7.3.13]
K22425	OEGLU; oleuropein beta-glucosidase [EC:3.2.1.206]
K22426	UGT74AC1; mogroside IE synthase [EC:2.4.1.350]
K22427	AADC; phenylalanine decarboxylase [EC:4.1.1.53]
K22428	FGF23; fibroblast growth factor 23
K22429	FGF21; fibroblast growth factor 21
K22430	carC; caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]
K22431	carD; caffeyl-CoA reductase-Etf complex subunit CarD [EC:1.3.1.108]
K22432	carE; caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]
K22433	PSID; L-tryptophan decarboxylase [EC:4.1.1.105]
K22434	PSIH; tryptamine 4-monooxygenase [EC:1.14.99.59]
K22435	PSIK; 4-hydroxytryptamine kinase [EC:2.7.1.222]
K22436	PSIM; psilocybin synthase [EC:2.1.1.345]
K22437	E2.1.1.22; carnosine N-methyltransferase [EC:2.1.1.22]
K22438	TMT1; trans-aconitate 3-methyltransferase [EC:2.1.1.145]
K22439	OMT; tricetin 3',4',5'-O-trimethyltransferase [EC:2.1.1.169]
K22440	NOMT; naringenin 7-O-methyltransferase [EC:2.1.1.232]
K22441	paiA; diamine N-acetyltransferase [EC:2.3.1.57]
K22442	GLYATL1; glutamine N-acyltransferase [EC:2.3.1.68]
K22443	cntA; carnitine monooxygenase subunit [EC:1.14.13.239]
K22444	cntB; carnitine monooxygenase subunit [EC:1.14.13.239]
K22445	ald; 4,4'-diapolycopenoate synthase [EC:1.2.99.10]
K22446	K22446; tRNA (cytosine49-C5)-methyltransferase [EC:2.1.1.-]
K22447	cct, ths; archaeal chaperonin
K22448	ECE1; extent of cell elongation protein 1
K22449	TBCEL; tubulin-specific chaperone cofactor E-like protein
K22450	SNAT; aralkylamine N-acetyltransferase [EC:2.3.1.87]
K22451	jgt; 4-alpha-glucanotransferase [EC:2.4.1.25]
K22452	tgpA; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
K22453	TFF2; trefoil factor 2
K22454	TFF3; trefoil factor 3
K22455	EBAG9; estrogen receptor-binding fragment-associated gene 9 protein
K22456	TFF1; trefoil factor 1
K22457	E2.6.1.14; asparagine---oxo-acid transaminase [EC:2.6.1.14]
K22458	CCD2; crocetin dialdehyde synthase [EC:1.13.11.84]
K22459	P3H2; procollagen-proline 3-dioxygenase 2 [EC:1.14.11.7]
K22460	P3H3; procollagen-proline 3-dioxygenase 3 [EC:1.14.11.7]
K22461	P3H4; endoplasmic reticulum protein SC65
K22462	bprA; (4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase [EC:1.3.1.113]
K22463	afsA; 2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase [EC:2.3.1.277]
K22464	FAP; fatty acid photodecarboxylase [EC:4.1.1.106]
K22465	bzaA_B; 5-hydroxybenzimidazole synthase [EC:4.1.99.23]
K22466	bzaF; 5-hydroxybenzimidazole synthase [EC:4.1.99.23]
K22467	TPS08; rhizathalene A synthase [EC:4.2.3.195]
K22468	ppk2; polyphosphate kinase [EC:2.7.4.1]
K22469	fau-1, aubA; probable ribonuclease FAU-1 [EC:3.1.26.-]
K22470	SQOR; eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8]
K22471	CCN4, WISP1; CCN family member 4
K22472	NS5B; HCV RNA-dependent RNA polymerase
K22473	adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]
K22474	adhB; alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]
K22475	adhS; alcohol dehydrogenase (quinone) subunit AdhS
K22476	K22476; N-acetylglutamate synthase [EC:2.3.1.1]
K22477	argO; N-acetylglutamate synthase [EC:2.3.1.1]
K22478	K22478; bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]
K22479	argA; N-acetyltransferase
K22480	hdrA1; heterodisulfide reductase subunit A1 [EC:1.8.7.3]
K22481	hdrB1; heterodisulfide reductase subunit B1 [EC:1.8.7.3]
K22482	hdrC1; heterodisulfide reductase subunit C1 [EC:1.8.7.3]
K22483	HMO1; transcriptional regulator HMO1
K22484	CBF1; transcriptional regulator CBF1
K22485	TBF1; protein TBF1
K22486	hilA; transcriptional regulator HilA, main transcriptional regulator of SPI1
K22487	prgJ; type III secretion system protein
K22488	prgH; type III secretion system protein
K22489	hosA; MarR family transcriptional regulator, temperature-dependent positive regulator of motility
K22490	ldrP; CRP/FNR family transcriptional regulator, LitR-dependent transcriptional activator
K22491	litR; MerR family transcriptional regulator, light-induced transcriptional regulator
K22492	CYP175A; beta-carotene 3-hydroxylase [EC:1.14.15.24]
K22493	ALS; agglutinin-like protein
K22494	K22494; CFEM-containing surface protein
K22495	SOHLH1; spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1
K22496	RFG1, ROX1; repressor RFG1/ROX1
K22497	NS2; HCV non-structural protein 2
K22498	NS4B; HCV non-structural protein 4B
K22499	ARMC5; armadillo repeat-containing protein 5
K22500	E1.13.12.18; dinoflagellate luciferase [EC:1.13.12.18]
K22501	appX; cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]
K22502	crtY; lycopene beta-cyclase [EC:5.5.1.19]
K22503	DARS1; aspartyl-tRNA synthetase [EC:6.1.1.12]
K22504	invG; type III secretion system outer membrane ring protein
K22505	prgK; type III secretion system inner membrane ring protein
K22506	spaL; type III secretion system ATPase [EC:7.4.2.8]
K22507	spaP; type III secretion system export apparatus protein
K22508	spaQ; type III secretion system export apparatus protein
K22509	spaR; type III secretion system export apparatus protein
K22510	spaS; type III secretion system export apparatus switch protein
K22511	invE; type III secretion system protein
K22512	spaK, invB; type III secretion system chaperone
K22513	spaM, invI; type III secretion system protein
K22514	spaN, invJ; type III secretion system protein
K22515	fdwB; formate dehydrogenase beta subunit [EC:1.17.1.9]
K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
K22517	CBLB; E3 ubiquitin-protein ligase CBL-B [EC:2.3.2.27]
K22518	CBLC; E3 ubiquitin-protein ligase CBL-C [EC:2.3.2.27]
K22519	PTAC5; protein disulfide-isomerase [EC:5.3.4.1]
K22520	LQY1; protein disulfide-isomerase [EC:5.3.4.1]
K22521	SCO2; protein disulfide-isomerase [EC:5.3.4.1]
K22522	LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
K22523	SULT6B1; sulfotransferase 6B1 [EC:2.8.2.-]
K22524	WBP2; WW domain-binding protein 2
K22525	MKL; MKL/myocardin-like protein
K22526	MYOCD; myocardin
K22527	CITED1; Cbp/p300-interacting transactivator 1
K22528	CITED4; Cbp/p300-interacting transactivator 4
K22529	AMIGO; amphoterin-induced protein
K22530	ATAD1; ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
K22531	ATAD2; ATPase family AAA domain-containing protein 2 [EC:3.6.1.-]
K22532	WBP2NL; postacrosomal sheath WW domain-binding protein
K22533	LINS1; protein Lines
K22534	PRDM5; PR domain zinc finger protein 5
K22535	DRM; drumstick
K22536	DAN, DANR; distal antenna
K22537	RPUSD3; mitochondrial RNA pseudouridine synthase RPUSD3 [EC:5.4.99.-]
K22538	RPUSD4; mitochondrial RNA pseudouridine synthase RPUSD4 [EC:5.4.99.-]
K22539	PLY; pectate lyase [EC:4.2.2.2]
K22540	HTD2; 3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]
K22541	HTD2; 3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]
K22542	SDNA; cycloaraneosene synthase [EC:4.2.3.191]
K22543	MN1; transcriptional activator MN1
K22544	SAMHD1; deoxynucleoside triphosphate triphosphohydrolase SAMHD1 [EC:3.1.5.-]
K22545	mtf2; fatty-acid O-methyltransferase [EC:2.1.1.15]
K22546	FAMT; juvenile hormone-III synthase [EC:2.1.1.325]
K22547	HAC1; arsenate reductase [EC:1.20.4.1]
K22548	lhpL; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
K22550	lhpD; D-hydroxyproline dehydrogenase subunit gamma
K22551	hpbA; N-methyl-L-proline demethylase [EC:1.5.3.-]
K22552	mmcO; multicopper oxidase [EC:1.16.3.1]
K22553	CYP199A2; 4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15]
K22554	THEM5; acyl-coenzyme A thioesterase THEM5 [EC:3.1.2.2]
K22555	TBC1D23; TBC1 domain family member 23
K22556	MANF, ARMET; mesencephalic astrocyte-derived neurotrophic factor
K22557	COMMD1, MURR1; COMM domain containing 1
K22558	COMMD2; COMM domain containing 2
K22559	COMMD3, BUP; COMM domain containing 3
K22560	COMMD4; COMM domain containing 4
K22561	COMMD5, HCARG; COMM domain containing 5
K22562	COMMD6; COMM domain containing 6
K22563	COMMD7; COMM domain containing 7
K22564	COMMD8; COMM domain containing 8
K22565	COMMD9; COMM domain containing 9
K22566	COMMD10; COMM domain containing 10
K22567	nroR; rubredoxin---NAD+ reductase [EC:1.18.1.1]
K22568	pccX; acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]
K22569	AF520; beta-trans-bergamotene synthase [EC:4.2.3.-]
K22570	AF480; fumagillin biosynthesis dioxygenase
K22571	AF390; fumagillin biosynthesis methyltransferase
K22572	AF490; fumagillin biosynthesis stereoselective ketoreductase
K22573	AF370; fumagillin biosynthesis polyketide synthase
K22574	AF380; fumagillin biosynthesis transferase
K22575	AF470; fumagillin biosynthesis monooxygenase
K22576	cos; carbonyl sulfide hydrolase [EC:3.13.1.7]
K22577	E2.1.1.347; (+)-O-methylkolavelool synthase [EC:2.1.1.347]
K22578	sesA; sesamin methylene transferase [EC:2.1.5.1]
K22579	rph; rifampicin phosphotransferase [EC:2.7.9.6]
K22580	fmtA; teichoic acid D-alanine hydrolase [EC:3.1.1.103]
K22581	TAS1; tenuazonic acid synthetase [EC:6.3.2.50]
K22582	PREPL; prolyl endopeptidase-like [EC:3.4.21.-]
K22583	TIMP2; metalloproteinase inhibitor 2
K22584	TIMP4; metalloproteinase inhibitor 4
K22585	nreA; DNA repair protein NreA
K22586	EAT1; ethanol O-acetyltransferase [EC:2.3.1.268]
K22587	DCI1; Delta3,5-Delta2,4-dienoyl-CoA isomerase [EC:5.3.3.21]
K22588	ASMT; acetylserotonin O-methyltransferase, plant [EC:2.1.1.4]
K22589	thadh; threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16]
K22590	ind1; indolepyruvate C-methyltransferase [EC:2.1.1.47]
K22591	ADNP; activity-dependent neuroprotector homeobox protein
K22592	AHDC1; AT-hook DNA-binding motif-containing protein 1
K22593	CHAMP1; chromosome alignment-maintaining phosphoprotein 1
K22594	POGZ; pogo transposable element with ZNF domain
K22595	CCDC155, KASH5; protein KASH5
K22596	GGCT; gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]
K22597	E2.4.1.352; glucosylglycerate phosphorylase [EC:2.4.1.352]
K22598	rosB; 8-demethyl-8-aminoriboflavin-5'-phosphate synthase [EC:2.6.1.114]
K22599	PR; HIV protease [EC:3.4.23.16 3.4.23.47]
K22600	GUCY2G; guanylate cyclase 2G [EC:4.6.1.2]
K22601	hpxY; oxamate carbamoyltransferase [EC:2.1.3.5]
K22602	hpxW; oxamate amidohydrolase [EC:3.5.1.126]
K22603	FGF19; fibroblast growth factor 19
K22604	E1.1.1.52; 3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]
K22605	baiA; 3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]
K22606	E1.1.1.391; 3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]
K22607	E1.1.1.393; 3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]
K22608	PTHLH, PTHRP; parathyroid hormone-related hormone
K22609	BGLAP; osteocalcin
K22610	RSBN1, KDM9; lysine-specific demethylase 9 [EC:1.14.11.-]
K22611	SART3, TIP110; squamous cell carcinoma antigen recognized by T-cells 3
K22612	vVEGFA; Poxvirus vascular endothelial growth factor A homolog
K22613	vCX3C; RSV chemokine CX3C homolog
K22614	NLRC3, NOD3; NLR family CARD domain-containing protein 3
K22615	NLRC5, NOD4; NLR family CARD domain containing 5
K22616	olsC; ornithine lipid ester-linked acyl 2-hydroxylase [EC:1.14.11.58]
K22617	olsA; lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270]
K22618	olsE; ornithine lipid hydroxylase
K22619	Aequorin; calcium-regulated photoprotein [EC:1.13.12.24]
K22620	CYP716A141; beta-amyrin 16beta-monooxygenase [EC:1.14.14.63]
K22621	CYP716E26; beta-amyrin 6beta-monooxygenase [EC:1.14.14.64]
K22622	soxD; S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]
K22623	vIL17; Herpesvirus interleukin 17
K22624	vCCL27; MOCV1 CC chemokine receptor antagonist
K22625	vIL8; Marek's disease virus interleukin 8 homolog
K22626	NLRP5; NACHT, LRR and PYD domains-containing protein 5
K22627	CXCL17; C-X-C motif chemokine 17
K22628	IL16; interleukin 16
K22629	IL27, IL27A; interleukin 27 subunit alpha
K22630	IL31RA; interleukin 31 receptor subunit alpha
K22631	IL31; interleukin 31
K22632	IL32; interleukin 32
K22633	IL34; interleukin 34
K22634	CYP71BE52; salviol synthase [EC:1.14.14.62]
K22635	CYP76AH3; ferruginol monooxygenase / sugiol synthase [EC:1.14.14.60 1.14.14.65]
K22636	CYP76AH24; ferruginol synthase / ferruginol monooxygenase [EC:1.14.14.175 1.14.14.60]
K22637	CYP76AK1; 11-hydroxysugiol 20-monooxygenase [EC:1.14.14.67]
K22638	CYP76AK6; carnosic acid synthase [EC:1.14.14.61]
K22639	CYP92C5; trimethyltridecatetraene/dimethylnonatriene synthase [EC:1.14.14.58 1.14.14.59]
K22640	CYP92C6; trimethyltridecatetraene synthase [EC:1.14.14.58]
K22641	TTYH; protein tweety
K22642	SLN; sarcolipin
K22643	MRLN; myoregulin
K22644	HVCN1, HV1; voltage-gated hydrogen channel 1
K22645	SLX5; E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 [EC:2.3.2.27]
K22646	SLX8; E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX8 [EC:2.3.2.27]
K22647	MINDY3_4; ubiquitin carboxyl-terminal hydrolase MINDY-3/4 [EC:3.4.19.12]
K22648	BCL6B; B-cell CLL/lymphoma 6 member B protein
K22649	BCL9, BCL9L; B-cell CLL/lymphoma 9 protein
K22650	bglJ; luxR family transcriptional regulator, regulator of transport and utilization of aryl beta-glucosides
K22651	RNF4; E3 ubiquitin-protein ligase RNF4 [EC:2.3.2.27]
K22652	TMEM25; transmembrane protein 25
K22653	NPTN; neuroplastin
K22654	IGDCC3, PUNK; immunoglobulin superfamily DCC subclass member 3
K22655	IGSF9; immunoglobulin superfamily member 9
K22656	IGSF9B; immunoglobulin superfamily member 9B
K22657	IGDCC4, NOPE; immunoglobulin superfamily DCC subclass member 4
K22658	CDH26; cadherin 26
K22659	CLSTN1; calsyntenin 1
K22660	CLSTN2; calsyntenin 2
K22661	CLSTN3; calsyntenin 3
K22662	NLRP8, NALP8; NACHT, LRR and PYD domains-containing protein 8
K22663	NLRP9, NALP9; NACHT, LRR and PYD domains-containing protein 9
K22664	NLRP11, NALP11; NACHT, LRR and PYD domains-containing protein 11
K22665	NLRP13, NALP13; NACHT, LRR and PYD domains-containing protein 13
K22666	NLRP14, NALP14; NACHT, LRR and PYD domains-containing protein 14
K22667	IL20; interleukin 20
K22668	IL24; interleukin 24
K22669	IFNL2_3, IL28; interferon lambda 2/3
K22670	BMP10; bone morphogenetic protein 10
K22671	CCL9; C-C motif chemokine 9
K22672	GDF3; growth differentiation factor 3
K22673	GDF9; growth differentiation factor 9
K22674	GDF10, BMP3B; growth differentiation factor 10
K22675	XCL2, SCM1B; C motif chemokine 2
K22676	bphB; cis-2,3-dihydrobiphenyl-2,3-diol/cis-2,3-dihydrodiol-DDE dehydrogenase [EC:1.3.1.-]
K22677	bphD; 2,6-dioxo-6-phenylhexa-3-enoate/TCOA hydrolase [EC:3.7.1.-]
K22678	dhl1; DDT-dehydrochlorinase [EC:4.5.1.1]
K22679	GDF11; growth differentiation factor 11
K22680	CLEC2A; c-type lectin domain family 2 member A
K22681	CLEC2L; c-type lectin domain family 2 member L
K22682	CLEC18; c-type lectin domain family 18
K22683	APF2; aspartyl protease family protein [EC:3.4.23.-]
K22684	MCA1; metacaspase-1 [EC:3.4.22.-]
K22685	WSS1; DNA-dependent metalloprotease WSS1 [EC:3.4.24.-]
K22686	NMA111; pro-apoptotic serine protease NMA111 [EC:3.4.21.-]
K22687	INHBB; inhibin beta B chain
K22688	INHBC; inhibin beta C chain
K22689	INHBE; inhibin beta E chain
K22690	roxA; exo-cleaving rubber dioxygenase [EC:1.13.11.85]
K22691	DOX1; drimenol monooxygenase [EC:1.14.14.72]
K22692	bmp2; 1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] brominase [EC:1.14.19.57]
K22693	pyrH; tryptophan 5-halogenase [EC:1.14.19.58]
K22694	sttH; tryptophan 6-halogenase [EC:1.14.19.59]
K22695	ktzR; 7-chloro-L-tryptophan 6-halogenase [EC:1.14.19.60]
K22696	EEF2KMT; protein-lysine N-methyltransferase EEF2KMT [EC:2.1.1.-]
K22697	SAMD8; sphingomyelin synthase-related protein 1
K22698	SEY1; protein SEY1 [EC:3.6.5.-]
K22699	thi4; sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]
K22700	ZCCHC2; Zinc finger CCHC domain-containing protein 2
K22701	TNFRSF10C, TRAILR3, DCR1, CD263; tumor necrosis factor receptor superfamily member 10C
K22702	TNFRSF10D, TRAILR4, DCR2, CD264; tumor necrosis factor receptor superfamily member 10D
K22703	IGMT; hydroxy-3-indolylmethylglucosinolate O-methyltransferase [EC:2.1.1.-]
K22704	hpnR; hopanoid C-3 methylase [EC:2.1.1.-]
K22705	hpnP; hopanoid C-2 methylase [EC:2.1.1.-]
K22706	UGT85A19; (R)-mandelonitrile beta-glucosyltransferase [EC:2.4.1.354]
K22707	sdnJ; sordaricin 6-deoxyaltrosyltransferase [EC:2.4.1.353]
K22708	tarS; poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase [EC:2.4.1.355]
K22709	tarQ; poly(ribitol-phosphate) beta-glucosyltransferase [EC:2.4.1.53]
K22710	tarM; poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase [EC:2.4.1.70]
K22711	pltR; LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
K22712	pltA; 1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase [EC:1.14.19.56]
K22713	pltG; thioesterase [EC:3.1.2.-]
K22714	pltB_C; polyketide synthase
K22715	dxnA1; dibenzofuran dioxygenase subunit alpha [EC:1.14.12.-]
K22716	dxnA2; dibenzofuran dioxygenase subunit beta [EC:1.14.12.-]
K22717	dxnB; 2-hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate hydrolase [EC:3.7.1.-]
K22718	blr; divisome-associated membrane protein
K22719	envC; murein hydrolase activator
K22720	glgS; surface composition regulator
K22721	CSG1, SUR1, CSH1; inositol phosphorylceramide mannosyltransferase catalytic subunit [EC:2.4.1.370]
K22722	CSG2; inositol phosphorylceramide mannosyltransferase regulatory subunit
K22723	AUR1; inositol phosphorylceramide synthase catalytic subunit [EC:2.7.1.227]
K22724	KEI1; inositol phosphorylceramide synthase regulatory subunit
K22725	IPT1; mannosyl-inositol-phosphoceramide inositolphosphotransferase [EC:2.7.1.228]
K22726	CYP5081B1, HELB2; helvolic acid biosynthesis cytochrome P450 monooxygenase
K22727	CYP5081C1, HELB4; helvolic acid biosynthesis cytochrome P450 monooxygenase
K22728	CYP5081D1, HELB3; helvolic acid biosynthesis cytochrome P450 monooxygenase
K22729	HELC; helvolic acid biosynthesis dehydrogenase/reductase
K22730	HELD1; helvolic acid biosynthesis C6-acyltransferase
K22731	HELD2; helvolic acid biosynthesis cytochrome C16-acyltransferase
K22732	HELE; helvolic acid biosynthesis 3-ketosteroid Delta1-dehydrogenase
K22733	NIPA, SLC57A2S; magnesium transporter
K22734	ANKH, SLC62A1; progressive ankylosis protein
K22735	NKAIN; sodium/potassium-transporting ATPase subunit beta-1-interacting protein
K22736	VIT; vacuolar iron transporter family protein
K22737	mbfA; erythrin-vacuolar iron transport family protein
K22738	PDFR; PDF receptor
K22739	CHYA; 2-(2-aminopropanamido)benzoic acid synthetase
K22740	PSOD; pseurotin biosynthesis cytochrome P450 monooxygenase
K22741	PSOC; pseurotin biosynthesis methyltransferase [EC:2.1.1.-]
K22742	PSOE; pseurotin biosynthesis glutathione S-transferase
K22743	PSOF; pseurotin biosynthesis epoxidase/methyltransferase
K22744	SIVA1; apoptosis regulatory protein Siva
K22745	AIFM2; apoptosis-inducing factor 2
K22746	CIAPIN1, DRE2; anamorsin
K22747	AIFM3; apoptosis-inducing factor 3
K22748	ATXR3, SDG2; [histone H3]-lysine4 N-trimethyltransferase ATXR3 [EC:2.1.1.354]
K22749	GLYATL2; glycine N-acyltransferase [EC:2.3.1.13]
K22750	GLYATL3; glycine N-acyltransferase-like protein 3 [EC:2.3.1.-]
K22751	CBFA2T2; CBFA2/RUNX1 translocation partner 2
K22752	CBFA2T3; CBFA2/RUNX1 translocation partner 3
K22753	RNF6; E3 ubiquitin-protein ligase RNF6 [EC:2.3.2.27]
K22754	RNF213; E3 ubiquitin-protein ligase RNF213 [EC:2.3.2.27]
K22755	UFL1; E3 UFM1-protein ligase 1 [EC:2.3.2.-]
K22756	NSMCE2, NSE2; E3 SUMO-protein ligase NSE2 [EC:2.3.2.-]
K22757	QCT, qpcT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K22758	CHCHD2; coiled-coil-helix-coiled-coil-helix domain-containing protein 2
K22759	CHCHD10; coiled-coil-helix-coiled-coil-helix domain-containing protein 10
K22760	CXXC5; CXXC-type zinc finger protein 5
K22761	PRIMPOL; DNA-directed primase/polymerase protein [EC:2.7.7.102 2.7.7.7]
K22762	DESI1, PPPDE2; desumoylating isopeptidase 1 [EC:3.4.-.-]
K22763	DESI2, PPPDE1; deubiquitinase DESI2 [EC:3.4.19.12]
K22764	TMEM107; transmembrane protein 107
K22765	TMEM237; transmembrane protein 237
K22766	FIGNL1; fidgetin-like protein 1 [EC:3.6.4.-]
K22767	MCC1; histone acetyltransferase MCC1 [EC:2.3.1.48]
K22768	MBD9; methyl-CpG-binding domain-containing protein 9 [EC:2.3.1.48]
K22769	desA3; NADPH-dependent stearoyl-CoA 9-desaturase [EC:1.14.19.-]
K22770	K22770; stearoyl-CoA 9-desaturase NADPH oxidoreductase
K22771	UGT73C6; flavonol-3-O-L-rhamnoside-7-O-glucosyltransferase [EC:2.4.1.-]
K22772	FG2; flavonol-3-O-glucoside L-rhamnosyltransferase [EC:2.4.1.159]
K22773	gB, UL55; Betaherpesvirinae envelope glycoprotein B
K22774	UL123; HCMV immediate-early protein 1
K22775	UL122; Cytomegalovirus viral transcription factor IE2
K22776	UL38; Cytomegalovirus apoptosis inhibitor UL38
K22777	gH, UL75; Cytomegalovirus envelope glycoprotein H
K22778	gL, UL115; Cytomegalovirus envelope glycoprotein L
K22779	UL82; Cytomegalovirus tegument protein pp71
K22780	UL26; Cytomegalovirus tegument protein UL26
K22781	US28; HCMV envelope protein US28
K22782	UL33; Cytomegalovirus G-protein coupled receptor UL33
K22783	US27; HCMV envelope glycoprotein US27
K22784	UL22A; HCMV glycoprotein UL22A
K22785	US6; HCMV membrane glycoprotein US6
K22786	US11; HCMV membrane glycoprotein US11
K22787	US3; HCMV membrane glycoprotein US3
K22788	UL36; Cytomegalovirus viral inhibitor of caspase-8-induced apoptosis
K22789	UL37; UL37 HCMV immediate early glycoprotein
K22790	Octbeta; octopamine receptor beta
K22791	TyrR; tyramine receptor
K22792	TrissinR; trissin receptor
K22793	MRGPRH; Mas-related G protein-coupled receptor member H
K22794	FG3; flavonol-3-O-glucoside/galactoside glucosyltransferase [EC:2.4.1.239 2.4.1.-]
K22795	papA2; 2-O-sulfo trehalose long-chain-acyltransferase [EC:2.3.1.288]
K22796	chp2; diacyltrehalose acyltransferase [EC:2.3.1.-]
K22797	octT; diglucosylglycerate octanoyltransferase [EC:2.3.1.273]
K22798	auaE; anthranilate-CoA-ACP transferase [EC:6.2.1.-]
K22799	auaA; 2-methyl-4-hydroxyquinoline prenyltransferase [EC:2.5.1.-]
K22800	auaF; aurachin D monooxygenase [EC:1.14.13.-]
K22801	auaJ; aurachin B monooxygenase [EC:1.14.13.-]
K22802	auaI; aurichin B epoxide hydrolase
